date,ticker,y_true,y_pred
2022-11-18,BBVA,5.448000,5.423711
2022-11-21,BBVA,5.455000,5.458424
2022-11-22,BBVA,5.519000,5.501352
2022-11-23,BBVA,5.536000,5.534037
2022-11-24,BBVA,5.580000,5.567404
2022-11-25,BBVA,5.641000,5.603573
2022-11-28,BBVA,5.540000,5.562298
2022-11-29,BBVA,5.624000,5.559192
2022-11-30,BBVA,5.612000,5.545322
2022-12-01,BBVA,5.566000,5.535178
2022-12-02,BBVA,5.612000,5.558060
2022-12-05,BBVA,5.554000,5.556373
2022-12-06,BBVA,5.543000,5.553790
2022-12-07,BBVA,5.517000,5.549436
2022-12-08,BBVA,5.512000,5.556774
2022-12-09,BBVA,5.533000,5.579961
2022-12-12,BBVA,5.489000,5.572804
2022-12-13,BBVA,5.556000,5.602300
2022-12-14,BBVA,5.537000,5.618307
2022-12-15,BBVA,5.336000,5.526859
2022-12-16,BBVA,5.398000,5.484195
2022-12-19,BBVA,5.404000,5.487750
2022-12-20,BBVA,5.557000,5.561100
2022-12-21,BBVA,5.687000,5.663304
2022-12-22,BBVA,5.641000,5.708317
2022-12-23,BBVA,5.666000,5.731722
2022-12-27,BBVA,5.649000,5.729546
2022-12-28,BBVA,5.655000,5.725852
2022-12-29,BBVA,5.702000,5.733618
2022-12-30,BBVA,5.634000,5.699582
2023-01-02,BBVA,5.782000,5.733689
2023-01-03,BBVA,5.869000,5.794543
2023-01-04,BBVA,6.100000,5.898402
2023-01-05,BBVA,6.154000,5.988189
2023-01-06,BBVA,6.210000,6.052788
2023-01-09,BBVA,6.277000,6.098477
2023-01-10,BBVA,6.310000,6.132979
2023-01-11,BBVA,6.273000,6.132962
2023-01-12,BBVA,6.321000,6.143097
2023-01-13,BBVA,6.362000,6.166821
2023-01-16,BBVA,6.398000,6.208197
2023-01-17,BBVA,6.415000,6.252726
2023-01-18,BBVA,6.443000,6.299909
2023-01-19,BBVA,6.310000,6.244058
2023-01-20,BBVA,6.367000,6.236066
2023-01-23,BBVA,6.450000,6.284229
2023-01-24,BBVA,6.431000,6.328044
2023-01-25,BBVA,6.292000,6.280843
2023-01-26,BBVA,6.417000,6.298345
2023-01-27,BBVA,6.434000,6.344305
2023-01-30,BBVA,6.439000,6.391322
2023-01-31,BBVA,6.463000,6.433910
2023-02-01,BBVA,6.767000,6.540481
2023-02-02,BBVA,6.798000,6.628373
2023-02-03,BBVA,6.907000,6.706415
2023-02-06,BBVA,6.790000,6.691151
2023-02-07,BBVA,6.777000,6.667767
2023-02-08,BBVA,6.753000,6.648303
2023-02-09,BBVA,6.800000,6.662711
2023-02-10,BBVA,6.740000,6.655436
2023-02-13,BBVA,6.831000,6.688801
2023-02-14,BBVA,6.875000,6.750338
2023-02-15,BBVA,6.882000,6.809442
2023-02-16,BBVA,7.010000,6.885845
2023-02-17,BBVA,6.976000,6.918053
2023-02-20,BBVA,6.973000,6.936194
2023-02-21,BBVA,6.968000,6.944187
2023-02-22,BBVA,6.947000,6.935302
